x,y,z
-1.90918,0.433181,-1.7373
-1.58887,0.279082,0.0126953
0.245117,0.627736,0.55957
0.561523,0.543097,-1.95605
0.475586,0.645833,0.680664
-0.635742,0.231982,0.598633
0.68457,0.416667,1.21191
1.21973,0.241738,1.71777
0.926758,0.406967,1.21777
-1.12012,0.253417,0.911133
-0.581055,0.855404,-1.63574
-1.78809,0.280622,0.165039
0.397461,0.581263,0.65918
-1.68652,0.514333,1.04004
-0.547852,0.82107,-1.64551
-1.78027,0.191879,-0.84082
0.487305,0.793985,0.506836
-1.70215,0.423682,-1.65527
0.0693359,0.354167,-0.711914
0.22168,0.642108,0.522461
1.48926,0.208333,1.11816
-1.03613,0.29512,0.663086
1.94434,0.304133,1.60645
0.0576172,0.396045,1.18457
0.46582,0.5625,1.19238
0.983398,0.375,-1.9209
0.59082,0.458333,-1.79199
-1.59863,0.4375,0.844727
-1.58691,0.645833,-1.96973
1.06738,0.288362,1.62207
-1.0791,0.392715,-0.598633
0.37793,0.549867,1.32129
-0.366211,0.223251,1.13574
-1.56934,0.361608,1.42871
1.18652,0.5,0.165039
-0.852539,0.166667,0.78418
-1.21387,0.367852,-0.227539
0.727539,0.683482,0.0537109
-0.516602,0.179906,1.45801
1.91113,0.395833,-0.65918
-1.03223,0.16129,1.04395
-1.22363,0.208333,1.23145
1.01465,0.546571,0.288086
-1.85449,0.509659,1.90332
1.9834,0.200821,1.44238
-0.0205078,0.520833,0.155273
-1.52051,0.347844,-1.21387
-1.54004,0.458333,0.93457
-0.637695,0.229167,0.84668
-0.319336,0.333569,0.567383
0.704102,0.666468,0.0380859
-0.524414,0.333333,1.70215
1.98535,0.38534,-0.725586
0.391602,0.709846,1.03418
-1.64941,0.419144,0.475586
-0.72168,0.229167,-0.524414
-0.124023,0.270833,1.91699
1.61035,0.476556,-0.838867
-1.88184,0.472712,1.23926
-1.70996,0.4375,1.86816
0.426758,0.398056,1.46973
-0.678711,0.145833,1.69824
0.668945,0.5625,0.874023
-1.78613,0.557733,-1.9502
0.0595703,0.301051,1.80176
1.75098,0.541667,-1.54004
0.233398,0.457118,0.739258
1.86035,0.476187,-1.06934
1.02637,0.520833,0.481445
-1.87598,0.458333,1.4541
-1.67285,0.5,1.66113
1.67285,0.610304,-1.18262
1.39941,0.424316,0.106445
1.52051,0.1875,1.1748
-1.58301,0.317285,1.52051
-0.481445,0.354167,1.91113
-1.78223,0.479167,0.893555
1.87793,0.0416667,1.2959
-0.379883,0.435521,1.84668
-0.325195,0.55274,-1.87402
1.11816,0.416667,0.516602
0.719727,0.270833,1.7002
-1.53418,0.5,1.00293
-0.977539,0.269361,-0.374023
-1.4541,0.354167,1.04785
-0.352539,0.354167,-0.90918
-0.96582,0.140803,1.27832
0.231445,0.748234,0.114258
-0.342773,0.203241,1.06934
-1.94629,0.25,-1.30176
-0.452148,0.25,0.666992
-1.27246,0.416667,0.938477
-1.80957,0.208333,0.0341797
0.510742,0.664472,0.700195
-1.57129,0.229167,-0.946289
1.91895,0.204568,1.50684
-1.18848,0.1875,1.69043
-1.05371,0.442988,-1.6084
1.8291,0.384427,-0.665039
1.82715,0.494594,-1.72754
-1.99512,0.401863,-1.69043
0.489258,0.833333,0.0654297
0.610352,0.104167,1.89941
-0.450195,0.408628,1.73926
0.59668,0.333333,-1.56738
0.254883,0.364801,1.95215
-1.85645,0.447169,1.74512
-1.15918,0.243963,-0.12207
1.87012,0.458333,-1.83496
-0.520508,0.645833,-1.78223
-1.83105,0.270833,0.223633
-0.918945,0.305046,0.665039
1.77441,0.229167,1.08105
0.663086,0.523627,0.764648
1.37402,0.40299,0.188477
0.700195,0.628647,0.50293
-0.575195,0.185453,1.2666
0.75293,0.455802,-0.598633
-0.848633,0.577398,-1.13965
-0.526367,0.627742,-1.93848
-1.49121,0.3125,-1.09277
1.23535,0.514399,-0.930664
-1.9873,0.593826,1.98535
0.436523,0.416667,-0.393555
-0.186523,0.458333,0.657227
-1.16504,0.178777,1.6748
1.5791,0.495478,-0.868164
0.655273,0.520833,1.04395
0.75293,0.399755,0.706055
0.538086,0.729167,0.319336
0.706055,0.5625,0.415039
-1.05762,0.228216,-0.182617
-1.37598,0.4655,-1.92871
-0.973633,0.5,-1.05566
1.60645,0.4042,-0.25293
0.411133,0.480157,-0.211914
-1.09277,0.1875,0.954102
-0.772461,0.4375,-0.969727
0.112305,0.479488,-0.0634766
0.586914,0.395833,-1.6709
1.81152,0.597895,-1.2041
-1.14355,0.243466,-0.155273
-1.94629,0.477451,0.641602
-1.01074,0.421931,-1.72559
1.98535,0.369302,1.7959
1.10254,0.398409,0.682617
0.893555,0.504205,-0.385742
1.28613,0.25,1.7959
-0.0380859,0.404413,-1.66309
0.926758,0.419713,0.584961
0.735352,0.581162,0.510742
-1.31152,0.395833,0.948242
-1.15918,0.158767,1.86426
1.65137,0.444352,-0.813477
1.48535,0.373235,0.338867
-0.530273,0.684738,-1.72754
0.143555,0.375,0.922852
1.88965,0.595657,-1.63379
-0.540039,0.6875,-1.53223
-0.776367,0.169712,0.987305
-0.567383,0.333333,1.84277
-0.149414,0.5,0.561523
0.350586,0.578476,0.932617
0.313477,0.354167,-0.676758
1.50293,0.148442,1.33301
-1.71582,0.446437,1.7373
1.05371,0.321866,1.01074
-1.36035,0.270833,1.07129
0.766602,0.310637,1.86621
1.49121,0.291667,1.96191
-1.2373,0.400832,-1.38965
1.34473,0.507004,-0.0205078
0.606445,0.375527,-0.666992
-1.71777,0.46728,0.387695
-1.62988,0.445989,1.8291
-0.969727,0.5,-1.33301
-0.629883,0.229167,1.34863
1.96191,0.392715,-0.598633
-1.75098,0.416667,-1.66309
0.704102,0.375,1.03613
-1.97949,0.289953,0.329102
-1.45605,0.291667,-0.641602
0.0986328,0.25,1.90137
-1.46973,0.291667,1.81543
-0.524414,0.405411,1.83887
1.68066,0.229167,1.06543
0.541992,0.713598,1.01074
-0.383789,0.520833,-1.57129
0.612305,0.439733,-0.428711
-0.727539,0.573193,-1.62012
0.569336,0.57963,0.829102
0.649414,0.461716,1.10254
-0.172852,0.4375,0.28418
1.74902,0.179265,1.58105
0.526367,0.625,0.883789
1.5752,0.4375,-0.532227
-1.19043,0.216725,1.70605
0.786133,0.416667,-1.87402
0.0380859,0.624827,0.504883
-1.33691,0.291667,1.11035
0.268555,0.590439,1.36426
0.321289,0.395833,-0.411133
1.84668,0.323675,1.85449
-0.930664,0.604167,-1.09082
-1.86621,0.4375,1.55371
0.235352,0.583333,1.43848
0.250977,0.665787,1.30957
-0.0263672,0.348492,1.09668
-1.06348,0.161128,1.09277
0.530273,0.435005,-0.385742
-1.42285,0.398371,-0.487305
-1.43066,0.239385,1.96191
1.92676,0.3125,1.68066
1.56934,0.427267,0.766602
1.18066,0.258336,1.60059
0.916992,0.419724,0.586914
-0.262695,0.23611,1.42676
-1.05371,0.270833,0.72168
1.81152,0.270833,0.87793
-0.901367,0.440089,-1.79395
0.995117,0.344662,1.10449
0.0439453,0.416667,-0.463867
-1.7959,0.5,1.11621
1.57129,0.170246,1.13184
1.30762,0.25,1.10059
1.52832,0.467554,-0.391602
-0.610352,0.25,1.9209
0.477539,0.356654,1.74121
0.604492,0.354167,-0.766602
1.75879,0.208333,1.02441
1.64551,0.621422,-1.16699
0.432617,0.660045,0.94043
0.670898,0.166667,1.7334
-1.11621,0.416667,-1.66504
-1.98145,0.425552,1.70605
-0.541992,0.625,-1.78418
0.405273,0.520833,0.850586
