v0,v1,v2
635,991,55
319,446,287
509,637,607
412,840,233
378,192,41
127,184,379
103,538,184
381,95,328
380,10,223
10,380,381
274,549,380
532,533,382
349,419,382
232,888,383
834,230,507
211,678,172
952,321,125
766,490,945
385,301,15
644,949,128
742,949,990
828,63,152
717,839,156
215,968,171
930,478,629
389,244,763
787,832,648
254,650,448
174,595,448
391,64,433
252,165,391
78,403,667
503,392,403
196,132,393
558,417,413
394,549,274
274,730,394
559,827,565
80,405,339
371,647,396
20,601,396
405,395,339
75,647,419
402,674,116
873,933,564
66,624,399
399,104,734
878,400,401
714,401,400
154,714,400
266,445,401
493,674,63
116,803,402
667,979,115
74,696,492
213,363,404
948,982,784
397,895,405
20,422,80
364,691,720
406,163,48
407,397,419
270,988,334
51,438,152
896,897,227
409,150,243
409,160,134
410,298,432
410,617,81
411,238,336
882,267,409
539,494,192
539,797,443
96,917,307
413,244,307
200,57,513
779,248,213
988,652,993
415,895,397
416,313,299
941,479,231
590,482,79
590,702,558
25,750,418
292,264,418
419,397,75
419,349,133
158,708,420
420,186,581
488,682,697
824,275,89
422,405,80
20,396,422
23,626,776
876,627,476
438,514,152
24,904,260
669,33,208
819,976,125
426,920,870
426,109,940
434,725,160
838,891,725
775,358,166
729,739,888
429,293,406
232,542,48
430,341,50
43,450,430
795,864,535
286,795,431
484,772,571
712,910,432
486,875,64
346,391,433
160,191,434
191,463,434
317,491,156
435,491,369
436,118,47
436,214,844
220,959,475
437,878,401
438,51,994
975,378,251
439,40,291
29,875,872
440,274,121
908,932,332
441,194,724
157,333,441
556,699,460
501,265,455
233,975,539
489,611,108
26,999,889
611,61,361
320,681,445
266,471,445
753,709,143
637,76,607
447,801,547
447,425,498
448,390,254
353,15,448
788,942,523
449,523,264
368,485,450
450,203,231
387,717,451
451,51,152
789,896,227
929,322,239
440,841,453
283,901,379
587,707,506
454,935,388
455,302,580
891,456,865
342,565,456
17,912,457
576,641,90
458,324,97
237,131,458
585,508,49
49,755,459
209,529,460
326,672,442
953,47,118
255,102,461
568,577,377
577,740,462
984,630,851
164,851,630
273,899,464
111,947,737
